,Location,Rank,University,Latitude,Longitude
285,Kolkata,55,Jadavpur University,22.4998759,88.3714991
286,Jaipur,548,Jagadguru Ramanandacharya Rajasthan Sanskrit University,26.8096003,75.7066569
287,Chitrakoot,651,Jagadguru Rambhadracharya Handicapped University,25.167231,80.834061
288,Mysore ...,395,Jagadguru Sri Shivarathreeswara University,12.3424835,76.6523711
289,Jaipur,428,Jagan Nath University,26.5492172,75.9536741
290,Jhajjar,628,"Jagan Nath University, NCR",28.632116,76.75804
291,Bhopal,604,Jagran Lakecity University,23.2033678,77.2945083
292,Jodhpur,290,Jai Narain Vyas University,26.2440985,73.020587
293,Chapra,439,Jai Prakash Vishwavidyalaya,25.7843192,84.7340459
294,Bangalore,217,Jain University,12.918174,77.59179
295,Ladnun,458,Jain Vishva Bharati Institute,27.6493997,74.3896262
296,Jaipur,170,Jaipur National University,26.8486076,75.8599374
297,New Delhi,111,Jamia Hamdard,28.5156233,77.2504518
298,New Delhi,52,Jamia Millia Islamia,28.5610313,77.2844543
299,Udaipur,333,Janardan Rai Nagar Rajasthan Vidhyapeeth University,24.5926259,73.7554039
300,Puducherry,50,Jawaharlal Institute of Postgraduate Medical Education and Research,11.9494936,79.7970164
301,Hyderabad,405,Jawaharlal Nehru Architecture and Fine Arts University,17.4031532,78.4559527
302,Bangalore,83,Jawaharlal Nehru Centre for Advanced Scientific Research,13.0685438,77.610875
303,Jabalpur,429,Jawaharlal Nehru Krishi Vishwavidyalaya,23.2072203,79.9539707
304,Hyderabad ...,63,Jawaharlal Nehru Technological University,17.4946257,78.3921576
305,Anantapur,249,"Jawaharlal Nehru Technological University, Anantapur",14.649663,77.6071356
306,Kakinada,128,"Jawaharlal Nehru Technological University, Kakinada",16.9785466,82.2406733
307,New Delhi,11,Jawaharlal Nehru University,28.540214,77.1661949
308,Jaipur,464,Jayoti Vidyapeeth Women's University,26.8252988,75.4605845
309,Noida,195,Jaypee Institute of Information Technology,28.6304529,77.372093
310,Raghogarh,493,Jaypee University of Engineering and Technology,24.4348857,77.1612002
311,Waknaghat,311,Jaypee University of Information Technology,31.016551,77.070159
312,Anupshahr,702,"Jaypee University, Anoopshahr",28.3392929,78.262267
313,Jaipur,411,JECRC University,26.775534,75.877486
314,Ranchi,646,Jharkhand Rai University,23.4052031,85.2512281
315,Gwalior,136,Jiwaji University,26.2008491,78.1949157
316,Jaipur,433,JK Lakshmipat University,26.8361138,75.650229
317,Jodhpur,518,Jodhpur National University,26.178362,72.9136242
318,Shikohabad,727,JS University,27.1241725,78.6351961
319,Junagadh,363,Junagadh Agricultural University,21.5061694,70.4493738
320,Vaddeswaram,110,K L University,16.4419187,80.6225262
321,Gurgaon,579,K.R. Mangalam University,28.271238,77.06789
322,Gandhinagar,598,Kadi Sarva VishwaVidyalaya,23.2388113,72.6398052
323,Warangal ...,161,Kakatiya University,18.0280771,79.5519144
324,Krishnankoil,336,Kalasalingam University,9.5747052,77.6798137
325,Raipur,584,Kalinga University,21.1675341,81.8208829
326,Gandhinagar,683,Kamdhenu University,23.2139477,72.6526178
327,Darbhanga,650,Kameshwar Singh Darbhanga Sanskrit University,26.1638211,85.8973471
328,Vidyaranya,565,Kannada University,15.2872791,76.4911042
329,Kannur,174,Kannur University,11.8675303,75.3745088
330,Dharwad,283,Karnatak University,15.4404075,74.9852464
331,Shiggaon,737,Karnataka Janapada Vishwavidyalaya,15.0340247,75.17553
332,Bangalore,621,Karnataka Sanskrit University,12.9589554,77.57228
333,Hubli,498,Karnataka State Law University,15.3997804,75.0709965
334,Bijapur ...,539,Karnataka State Women's University,16.8306258,75.6405835
335,Bidar,729,"Karnataka Veterinary, Animal and Fisheries Sciences University",17.8680356,77.4776166
336,Coimbatore,670,Karpagam Academy of Higher Education,10.917817,76.987083
337,Coimbatore,92,Karunya University,10.936164,76.744061
338,Nagpur,512,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya,21.3928618,79.3268397
339,Asansol,603,Kazi Nazrul University,23.6947471,86.9949171
340,Thrissur ...,91,Kerala Agricultural University,10.5483936,76.2856863
341,Cheruthuruthi,506,Kerala Kalamandalam,10.7366151,76.2790309
342,Kochi,482,Kerala University of Fisheries and Ocean Studies,9.910665,76.317304
343,Thrissur,412,Kerala University of Health Sciences,10.6108739,76.1951338
344,Pookode,379,Kerala Veterinary and Animal Sciences University,11.5392866,76.020053
345,Lucknow,705,"Khwaja Moinuddin Chishti Urdu, Arabi-Farsi University",26.928709,80.8963305
346,Bhubaneswar,72,KIIT University,20.355255,85.8153017
347,Lucknow,173,King George's Medical University,26.867316,80.9148575
348,Belgaum ...,419,KLE University,15.8840223,74.5172335
349,Chaibasa,505,Kolhan University,22.5251653,85.8136226
350,Bhuj,423,Krantiguru Shyamji Krishna Verma Kachchh University,23.214095,69.654603
351,Karad,545,Krishna Institute of Medical Sciences,17.385044,78.486671
352,Machilipatnam,351,Krishna University,16.138823,81.100397
353,Mysore,730,KSGH Music and Performing Arts University,12.2958291,76.6428384
354,Nalbari,725,Kumar Bhaskar Varma Sanskrit And Ancient Studies University,26.48544,91.4579459
355,Nainital,302,Kumaun University,29.3909438,79.4459045
356,Kurukshetra ...,46,Kurukshetra University,29.9655011,76.7105633
357,Raipur,662,Kushabhau Thakre Patrakarita Avam Jansanchar University,21.1721866,81.6244376
358,Shimoga,324,Kuvempu University,13.7358823,75.6324272
359,Gwalior,489,Lakshmibai National Institute of Physical Education,26.220921,78.1904179
360,Ahmedabad,739,Lakulish Yoga University,23.1268584,72.5391482
361,Hisar,494,Lala Lajpat Rai University of Veterinary and Animal Sciences,29.1467924,75.7099688
362,Darbhanga,328,Lalit Narayan Mithila University,26.1609463,85.8958125
363,Faridabad,558,Lingaya's University,28.409308,77.403165
364,Phagwara,9,Lovely Professional University,31.253603,75.703669
365,Bangalore,446,M.S. Ramaiah University of Applied Sciences,13.02909,77.569861
366,Gorakhpur,266,Madan Mohan Malaviya University of Technology,26.7314104,83.4332066
367,Pindwara,693,Madhav University,24.5592304,72.847495
368,Madurai,177,Madurai Kamaraj University,9.9403922,78.0105374
369,Bodh Gaya,308,Magadh University,24.6867467,84.9651339
370,Nagaon,728,Mahapurusha Srimanta Sankaradeva Viswavidyalaya,26.3493036,92.6812434
371,Baddi,698,Maharaja Agrasen University,30.876924,76.876558
372,Chhatarpur,700,Maharaja Chhatrasal Bundelkhand University,24.9035358,79.5916785
373,Bikaner,221,Maharaja Ganga Singh University,28.0329959,73.2599185
374,Bhavnagar,278,Maharaja Krishnakumarsinhji Bhavnagar University,21.7619163,72.1295145
375,Bathinda,633,Maharaja Ranjit Singh Punjab Technical University,30.1738205,74.9232538
376,Bharatpur,638,Maharaja Surajmal Brij University,27.2104905,77.5167955
377,Udaipur,397,Maharana Pratap University of Agriculture and Technology,24.5931246,73.7311454
378,Nagpur,418,Maharashtra Animal and Fishery Sciences University,21.1580891,79.0468109
379,Nashik,220,Maharashtra University of Health Sciences,20.0785105,73.8027101
380,Rohtak,71,Maharishi Dayanand University,28.8768269,76.621108
381,Katni ...,570,Maharishi Mahesh Yogi Vedic Vishwavidyalaya,23.442395,80.3881333
382,Mullana ...,227,"Maharishi Markandeshwar University, Mullana",30.251223,77.047538
383,Ambala ...,673,"Maharishi Markandeshwar University, Sadopur",30.4234595,76.7748739
384,Solan,665,"Maharishi Markandeshwar University, Solan",30.8707627,77.0861778
385,Bilaspur ...,661,Maharishi University of Management and Technology,22.1038705,82.1204417
386,Ajmer,380,Maharshi Dayanand Saraswati University,26.5060336,74.6808517
387,Ujjain,606,Maharshi Panini Sanskrit Vishwavidyalaya,23.1674149,75.800299
388,Wardha,332,Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,20.7643047,78.5884428
389,Motihari,492,"Mahatma Gandhi Central University, Motihari",26.646312,84.9059253
390,Chitrakoot,642,Mahatma Gandhi Chitrakoot Gramoday Vishwavidyalaya,25.1788154,80.8654534
391,Varanasi ...,186,Mahatma Gandhi Kashi Vidyapeeth,25.3212319,82.9895586
392,Kottayam,45,Mahatma Gandhi University,9.6579672,76.532764
393,Jaipur,659,Mahatma Gandhi University of Medical Sciences and Technology,26.7714749,75.8584127
394,Khanapara,367,"Mahatma Gandhi University, Meghalaya",26.0668006,91.8698759
395,Nalgonda,507,"Mahatma Gandhi University, Nalgonda",17.1449454,79.2206901
396,Jaipur,630,Mahatma Jyoti Rao Phoole University,26.8911864,75.7752559
397,Bareilly,117,Mahatma Jyotiba Phule Rohilkhand University,28.3659945,79.4552067
398,Rahuri,504,Mahatma Phule Krishi Vidyapeeth,19.349088,74.646091
399,Bhopal ...,292,Makhanlal Chaturvedi Rashtriya Patrakarita Vishwavidyalaya,23.1942741,77.4319424
400,Jaipur,97,"Malaviya National Institute of Technology, Jaipur",26.86126,75.8139892
401,Solan,522,Manav Bharti University,30.8697163,77.0840746
402,Aligarh,596,Mangalayatan University,27.642314,77.8953181
403,Mangalore,153,Mangalore University,12.8170387,74.9231362
404,Manipal ...,21,Manipal University,13.3536241,74.7847731
405,Imphal,257,Manipur University,24.7522876,93.9280425
406,Tirunelveli,209,Manonmaniam Sundaranar University,8.7614889,77.6493676
407,Shillong,667,Martin Luther Christian University,25.5681461,91.8838994
408,Rajkot,716,Marwadi University,22.367243,70.797557
409,Aarang,583,MATS University,21.2470623,81.9981551
410,Kolkata,106,Maulana Abul Kalam Azad University of Technology,22.596544,88.417305
411,Bhopal,115,Maulana Azad National Institute of Technology,23.214585,77.4051341
412,Hyderabad,210,Maulana Azad National Urdu University,17.4250859,78.3642943
413,Jodhpur,742,"Maulana Azad University, Jodhpur",26.2740207,72.9870234
414,Patna,612,Maulana Mazharul Haque Arabic and Persian University,25.5936134,85.1054255
415,Chennai,658,Meenakshi Academy of Higher Education and Research,13.0143467,80.1069136
416,Chittorgarh,495,Mewar University,25.0329877,74.6354721
417,Navi Mumbai,529,MGM Institute of Health Sciences,19.0218216,73.0907
418,Aizawl,230,Mizoram University,23.740373,92.6522456
419,Lakshmangarh,404,Mody University,27.8019683,75.0360464
420,Rampur,689,Mohammad Ali Jauhar University,28.8793375,79.0178867
421,Udaipur,160,Mohanlal Sukhadia University,24.5941614,73.7314401
422,Hapur,740,Monad University,28.7216325,77.6961996
423,Kodaikanal,346,Mother Teresa Women's University,10.2692324,77.4811327
424,Bhagwanpur,732,Motherhood University,29.9218372,77.8330156
425,Allahabad,48,Motilal Nehru National Institute of Technology,25.4920102,81.8639163
426,Palwal,533,MVN University,28.0162374,77.3328014
427,Kohima,361,Nagaland University,25.7247899,94.095642
428,Rajgir,304,Nalanda University,25.0184998,85.380065
429,Hyderabad,280,NALSAR University of Law,17.6041626,78.5469197
430,Jabalpur,625,Nanaji Deshmukh Veterinary Science University,23.1607279,79.9513704
431,Faizabad,587,Narendra Dev University of Agriculture and Technology,26.5353735,81.8350336
432,Mumbai,62,Narsee Monjee Institute of Management and Higher Studies,19.103347,72.8365851
433,Karnal ...,421,National Dairy Research Institute,29.6999796,76.9866712
434,Ahmedabad ...,68,National Institute of Design,23.0110378,72.5697291
435,New Delhi ...,86,National Institute of Fashion Technology,28.5561759,77.2084359
436,Sonipat,326,National Institute of Food Technology Entrepreneurship and Management,28.8784303,77.1332599
437,Bangalore,252,National Institute of Mental Health and Neuro Sciences,12.9406819,77.5982643
438,Ahmedabad,637,"National Institute of Pharmaceutical Education and Research, Ahmedabad",30.6833624,76.7320981
439,Guwahati,706,"National Institute of Pharmaceutical Education and Research, Guwahati",26.1544247,91.7698965
440,Hajipur,696,"National Institute of Pharmaceutical Education and Research, Hajipur",25.6933584,85.2434349
441,Hyderabad,559,"National Institute of Pharmaceutical Education and Research, Hyderabad",17.4708913,78.4395823
442,Kolkata,639,"National Institute of Pharmaceutical Education and Research, Kolkata",22.4974066,88.369979
443,Mohali,400,"National Institute of Pharmaceutical Education and Research, Mohali",30.6833624,76.7320981
444,Rae Bareli,648,"National Institute of Pharmaceutical Education and Research, Rae Bareli",26.231516,81.267739
445,Agartala,256,"National Institute of Technology, Agartala",23.8437702,91.4248487
446,Yupia,359,"National Institute of Technology, Arunachal Pradesh",27.1484987,93.7168886
447,Calicut,54,"National Institute of Technology, Calicut",11.3199679,75.9327257
448,New Delhi,340,"National Institute of Technology, Delhi",28.8429798,77.1045429
449,Durgapur,105,"National Institute of Technology, Durgapur",23.5482373,87.2934466
450,Farmagudi,330,"National Institute of Technology, Goa",15.4124152,73.9781219
451,Hamirpur,168,"National Institute of Technology, Hamirpur",31.708371,76.527356
452,Jamshedpur,178,"National Institute of Technology, Jamshedpur",22.7765695,86.1437391
453,Mangalore,61,"National Institute of Technology, Karnataka",13.0108387,74.7943104
454,Kurukshetra,150,"National Institute of Technology, Kurukshetra",29.9489654,76.8172843
455,Imphal,453,"National Institute of Technology, Manipur",24.8320388,93.9128172
456,Shillong,277,"National Institute of Technology, Meghalaya",25.5738788,91.8947077
457,Aizawl,410,"National Institute of Technology, Mizoram",23.7483417,92.7210211
458,Dimapur,450,"National Institute of Technology, Nagaland",25.7880243,93.7744568
459,Patna,162,"National Institute of Technology, Patna",25.6211289,85.1720184
460,Karaikal,402,"National Institute of Technology, Puducherry",10.9884374,79.8456824
461,Raipur,152,"National Institute of Technology, Raipur",21.2497222,81.6050291
462,Rourkela,26,"National Institute of Technology, Rourkela",22.2534697,84.9011321
463,Ravangla,424,"National Institute of Technology, Sikkim",27.2973639,88.3569818
464,Silchar,138,"National Institute of Technology, Silchar",24.7554952,92.7879635
465,Srinagar,322,"National Institute of Technology, Srinagar",34.125218,74.8374486
466,Tiruchirappalli,39,"National Institute of Technology, Tiruchirappalli",10.7589181,78.813219
467,Srinagar,436,"National Institute of Technology, Uttarakhand",30.2184454,78.7669899
468,Warangal,85,"National Institute of Technology, Warangal",17.9839293,79.5307478
469,Bhopal,474,National Law Institute University,23.186921,77.363667
470,Bangalore,122,National Law School of India University,12.9546005,77.5175454
471,New Delhi,198,National Law University,28.599426,77.0231638
472,Guwahati,496,"National Law University and Judicial Academy, Assam",26.1882709,91.6525655
473,Jodhpur,236,"National Law University, Jodhpur",26.362827,73.056794
474,Cuttack,451,"National Law University, Orissa",20.4852061,85.7916497
475,New Delhi,116,National University of Educational Planning and Administration,28.5388395,77.1917919
476,Ranchi,457,National University of Study and Research in Law,23.4526442,85.3173351
477,Bargaon,575,Nava Nalanda Mahavihara,25.1282408,85.4455249
478,Vadodara,549,Navrachana University,22.2927592,73.1221589
479,Navsari ...,354,Navsari Agricultural University,20.9248565,72.9079128
480,Allahabad,478,Nehru Gram Bharati Vishwavidyalaya,25.3753117,81.9997698
481,Kaithal,691,NIILM University,29.8617481,76.4609277
482,Medininagar,595,Nilamber-Pitamber University,24.036266,84.068583
483,Jaipur,345,NIMS University,27.1927146,75.9539704
484,Ahmedabad,93,Nirma University of Science and Technology,23.1295756,72.5413145
485,Mangalore,265,NITTE University,12.807511,74.888219
486,Hyderabad,401,Nizam's Institute of Medical Sciences,17.421937,78.4520067
487,Greater Noida,422,Noida International University,28.3724544,77.5399486
488,Shillong ...,78,North Eastern Hill University,25.6131418,91.8981471
489,Itanagar,300,North Eastern Regional Institute of Science and Technology,27.1305429,93.7408016
490,Jalgaon ...,133,North Maharashtra University,21.003251,75.4940698
491,Baripada,532,North Orissa University,21.929906,86.7658332
492,Sonipat,197,O.P. Jindal Global University,28.9262307,77.0566736
493,Indore,672,Oriental University,22.8031895,75.8563927
494,Bhubaneswar,281,Orissa University of Agriculture and Technology,20.265043,85.8117039
495,Hyderabad,37,Osmania University,17.413502,78.5287355
496,Udaipur,743,Pacific Medical University,24.6688676,73.7023079
497,Udaipur,501,"Pacific University, India",24.5992851,73.7762916
498,Navi Mumbai,317,Padmashree Dr. D.Y. Patil Vidyapith,18.6241943,73.8211085
499,Mahabubnagar,449,Palamuru University,16.7207392,77.9817166
500,Gandhinagar,187,Pandit Deendayal Petroleum University,23.1563332,72.6655211
501,Sikar,425,Pandit Deendayal Upadhyaya Shekhawati University,27.6778655,75.1901293
502,Raipur,263,Pandit Ravishankar Shukla University,21.2468599,81.5974452
503,Chandigarh,18,Panjab University,30.7600747,76.7663028
504,Waghodia,388,Parul University,22.2888265,73.3637967
505,Patna,244,Patna University,25.618662,85.167012
506,Jabalpur,216,"PDPM Indian Institute of Information Technology, Design and Manufacturing",23.1801406,80.0268662
507,Chandigarh,169,PEC University of Technology,30.7680494,76.782702
508,Bhopal,567,People's University,23.3011578,77.423941
509,Vallam ...,500,Periyar Maniammai University,10.7301521,79.0688749
510,Salem,238,Periyar University,11.7184115,78.0773234
511,Bangalore,158,PES University,12.9344948,77.5345164
512,Puducherry ...,53,Pondicherry University,12.0219328,79.8574832
513,Thanjavur,543,Ponnaiyan Ramajayam Institute of Science and Technology,10.7192892,79.0426116
514,Jaipur,477,Poornima University,26.779445,75.877375
515,Chandigarh,90,Post Graduate Institute of Medical Education and Research,30.762393,76.776254
516,Hyderabad,445,Potti Sreeramulu Telugu University,17.3953217,78.4699368
517,Jaipur,682,Pratap University,27.2266743,75.9307192
518,Loni,299,Pravara Institute of Medical Sciences,19.5786755,74.4559409
519,Kolkata,172,Presidency University,22.5762778,88.3632497
520,Hyderabad,313,Professor Jayashankar Telangana State Agricultural University,17.3226269,78.4175444
521,Rohtak,325,Pt. Bhagwat Dayal Sharma University of Health Sciences,28.884793,76.6085837
522,Ludhiana,159,Punjab Agricultural University,30.9019147,75.8077749
523,Kapurthala,140,Punjab Technical University,31.3528483,75.4595632
524,Patiala,98,Punjabi University,30.360586,76.451356
525,Kolkata,289,Rabindra Bharati University,22.5844889,88.3593625
526,Neemrana,636,Raffles University,27.9597957,76.3959478
527,Dholka,503,Rai University,23.2264381,77.3881112
528,Alwar,541,Raj Rishi Bharthari Matsya University,27.5820063,76.6211522
529,Gwalior,722,Raja Mansingh Tomar Music and Arts University,26.1907906,78.1790157
530,Kota,131,Rajasthan Technical University Kota,25.1413055,75.8040022
531,Jaipur,206,Rajasthan University of Health Sciences,26.8016946,75.8288741
532,Bikaner,408,Rajasthan University of Veterinary and Animal Sciences,28.032533,73.329481
533,Samastipur,417,Rajendra Agricultural University,25.9844389,85.6744532
534,Raebareli,368,Rajiv Gandhi Institute of Petroleum Technology,26.265081,81.509307
535,Sriperumbudur,342,Rajiv Gandhi National Institute of Youth Development,12.9801924,79.9587893
536,Patiala,432,Rajiv Gandhi National University of Law,30.3865389,76.3241666
537,Bhopal ...,60,Rajiv Gandhi Proudyogiki Vishwavidyalaya,23.3017385,77.3620278
538,Itanagar,260,Rajiv Gandhi University,12.9260951,77.592576
539,Bangalore,167,Rajiv Gandhi University of Health Sciences,12.9260951,77.592576
540,Hyderabad,268,Rajiv Gandhi University of Knowledge Technologies,17.4471373,78.3491006
541,Gwalior,623,Rajmata Vijayaraje Scindia Krishi Vishwavidyalaya,26.22316,78.1908981
542,Ahmedabad,678,Raksha Shakti University,23.053066,72.6101637
543,Kanpur,622,Rama University,28.6966218,77.6074933
544,Belur ...,431,Ramakrishna Mission Vivekananda University,22.6299477,88.3537541
545,Ranchi,447,Ranchi University,23.3714999,85.3239229
546,Belagavi,480,"Rani Channamma University, Belagavi",16.0052896,74.5052098
547,Jabalpur,251,Rani Durgavati Vishwavidyalaya,23.161356,79.978737
548,Nagpur,151,Rashtrasant Tukadoji Maharaj Nagpur University,21.1468555,79.050062
549,New Delhi,394,Rashtriya Sanskrit Sansthan University,23.1914648,77.4788015
550,Tirupati,472,Rashtriya Sanskrit Vidyapeetha,13.6357437,79.4071412
551,Cuttack,279,Ravenshaw University,20.4664161,85.8950223
552,Kurnool,441,Rayalaseema University,15.772583,78.0605348
553,Kharar,629,Rayat-Bahra University,30.781041,76.618326
554,Bangalore,475,REVA University,13.1172435,77.6343492
555,Rajkot,335,RK University,22.2403032,70.9008546
556,Bhopal,588,RKDF University,23.3125113,77.3595922
557,Ranchi,681,Sai Nath University,23.4896346,85.4071295
558,Allahabad,316,"Sam Higginbottom Institute of Agriculture, Technology and Sciences",25.4135425,81.8468641
559,Burla,275,Sambalpur University,21.4807608,83.884018
560,Varanasi,552,Sampurnanand Sanskrit Vishvavidyalaya,25.3318206,82.9993926
561,Bhilwara,686,Sangam University,25.2796065,74.6209968
562,Lucknow,214,Sanjay Gandhi Post Graduate Institute of Medical Sciences,26.7434191,80.9452102
563,Amravati,193,Sant Gadge Baba Amravati University,20.9369598,77.804813
564,Sangrur,327,Sant Longowal Institute of Engineering and Technology,30.2175278,75.6984457
565,Ghaziabad,471,Santosh University,28.6697777,77.4322772
566,Vallabh Vidyanagar,166,Sardar Patel University,22.5552555,72.9250252
567,Jodhpur,657,"Sardar Patel University of Police, Security and Criminal Justice",26.3968324,73.0641358
568,Surat,119,"Sardar Vallabhbhai National Institute of Technology, Surat",21.167353,72.7850947
569,Meerut,526,Sardar Vallabhbhai Patel University of Agriculture and Technology,29.0871412,77.6969849
570,Palanpur,452,Sardarkrushinagar Dantiwada Agricultural University,24.3216994,72.3177225
571,Ambikapur,591,Sarguja University,23.1145639,83.1885894
